ra,dec,xki,eta,radius,signal,noise,vr,e_vr,P(member)
344.5727234,41.3351402,0.217,2.642,4.331,253.5,57.2,-202.46,4.93,1.0
344.5725098,41.3218346,0.208,1.843,3.059,265.1,60.6,-174.92,5.39,0.89
344.5692444,41.2975845,0.061,0.388,0.656,205.6,52.3,-201.64,6.39,1.0
344.5658875,41.3878593,-0.091,5.805,9.175,178.1,54.3,-204.03,6.54,1.0
344.5650024,41.269249,-0.131,-1.312,2.165,247.3,53.7,-202.75,5.34,1.0
344.5646362,41.2906952,-0.147,-0.025,0.205,233.8,48.6,-205.98,5.4,1.0
344.5644226,41.2729454,-0.157,-1.09,1.831,176.0,58.8,-186.95,7.51,0.99
344.5593262,41.2556953,-0.387,-2.125,3.626,281.4,59.7,-215.45,4.61,1.0
344.5583191,41.2421684,-0.432,-2.937,4.94,366.9,53.5,-207.67,4.52,1.0
344.5572205,41.3264427,-0.482,2.12,3.137,304.3,58.6,-202.49,4.9,1.0
344.5564575,41.2610283,-0.516,-1.805,3.218,252.1,56.7,-213.14,5.14,1.0
344.5551147,41.3256683,-0.576,2.073,3.031,421.3,63.9,-200.83,4.36,1.0
344.5543823,41.3026123,-0.609,0.69,1.004,244.6,55.4,-195.6,5.81,1.0
344.5527954,41.3482513,-0.681,3.428,5.112,173.6,51.6,-196.03,6.86,1.0
344.552002,41.2480545,-0.717,-2.583,4.589,264.1,50.3,-213.16,4.83,1.0
344.5513,41.2680016,-0.748,-1.387,2.762,301.9,56.7,-206.87,4.6,1.0
344.5467834,41.226944,-0.952,-3.85,6.752,385.6,71.7,-200.23,4.53,1.0
344.5443726,41.2400818,-1.061,-3.062,5.603,531.9,56.7,-115.28,4.14,0.0
344.5426331,41.3386955,-1.139,2.855,4.079,395.6,67.1,-186.25,4.37,0.99
344.5418701,41.2897491,-1.174,-0.082,1.526,752.0,74.6,-195.4,4.13,1.0
344.5416565,41.2769432,-1.183,-0.85,2.417,224.1,55.7,-213.27,5.45,1.0
344.5400696,41.3180008,-1.255,1.613,2.303,358.2,57.1,-96.04,4.7,0.0
344.5395813,41.2592773,-1.277,-1.91,4.027,217.9,55.8,-173.33,5.63,0.85
344.5395508,41.2928047,-1.278,0.102,1.524,325.9,54.9,-182.07,4.92,0.97
344.5394897,41.2984161,-1.281,0.438,1.414,212.4,57.3,-209.19,6.18,1.0
344.5327454,41.2998352,-1.585,0.523,1.751,314.5,59.0,-195.06,4.79,1.0
344.528595,41.3052788,-1.772,0.85,1.983,278.1,58.5,-192.76,5.45,1.0
344.517334,41.2567482,-2.28,-2.062,5.237,490.9,52.3,-206.89,3.94,1.0
344.5139465,41.2243042,-2.432,-4.008,8.226,276.7,48.8,-11.59,5.06,0.0
344.5126648,41.2882767,-2.49,-0.17,3.236,414.3,63.8,-186.64,4.56,0.99
344.5109253,41.2684174,-2.569,-1.362,4.619,307.2,60.9,-208.43,4.58,1.0
344.5096741,41.2155838,-2.625,-4.532,9.187,489.7,56.6,-123.68,4.11,0.0
344.499176,41.2582512,-3.098,-1.972,5.993,275.2,48.1,-195.77,4.76,1.0
344.4934082,41.277916,-3.358,-0.792,4.895,222.1,59.8,-190.77,5.73,1.0
344.4882202,41.2512207,-3.592,-2.393,7.09,270.7,57.1,-222.08,4.97,0.98
344.48703,41.2421684,-3.646,-2.937,7.877,395.8,57.2,-58.43,4.23,0.0
344.4811707,41.2748871,-3.91,-0.973,5.753,241.3,56.9,-206.85,6.08,1.0
344.4790955,41.2618904,-4.004,-1.753,6.746,372.6,61.4,-199.93,4.62,1.0
344.4527893,41.2385826,-5.189,-3.152,9.843,203.2,54.1,-125.36,6.38,0.0
344.4499207,41.2305565,-5.319,-3.633,10.616,666.0,72.0,-58.59,4.21,0.0
