X_pc,Y_pc,vr,d_vr,FeH,d_FeH,flag,P_member_position
82.539,-33.87,999.0,999.0,-1.26,0.28,1,0.9995212498877822
191.6,50.07,999.0,999.0,-1.41,0.3,1,0.99857736053024
47.751,-144.622,999.0,999.0,-0.91,0.26,1,0.9978883272693729
203.893,-174.187,999.0,999.0,-1.2,0.24,1,0.9961295036861159
312.857,-15.536,999.0,999.0,-1.06,0.2,1,0.9977841268060973
152.284,-21.842,999.0,999.0,-1.49,0.22,1,0.9995419518503593
187.032,91.239,999.0,999.0,-1.1,0.24,1,0.9958347041840538
29.586,41.453,999.0,999.0,-0.71,0.23,1,0.9985147854781616
154.156,-42.865,999.0,999.0,-1.31,0.2,1,0.9995637858146452
262.4,41.996,999.0,999.0,-1.1,0.2,1,0.9976570223979947
-0.662,0.337,999.0,999.0,-0.52,0.27,1,0.9988551790531381
181.652,-57.769,999.0,999.0,-1.27,0.26,1,0.999510245309007
2400.435,1849.426,999.0,999.0,-0.67,0.28,0,1.197899778047589e-295
-3042.386,-4009.854,999.0,999.0,-0.57,0.23,0,0.0
57.526,-2901.856,999.0,999.0,-1.01,0.23,0,0.0
-1964.725,469.554,999.0,999.0,-0.37,0.22,0,1.701802062975641e-96
3102.444,-1774.795,999.0,999.0,-1.45,0.25,0,1.32409593085e-313
-356.74,-4581.269,999.0,999.0,-0.39,0.25,0,0.0
3673.797,-2533.062,-47.789,5.49,-0.92,0.2,0,0.0
-4434.658,-1614.435,999.0,999.0,-0.93,0.27,0,0.0
-21.24,493.755,999.0,999.0,-0.09,0.28,0,3.389057298857703e-12
-2845.471,3482.761,999.0,999.0,-0.62,0.27,0,0.0
4999.701,1188.258,-20.544,4.15,-0.89,0.21,0,0.0
-2912.407,-3636.494,999.0,999.0,-0.86,0.3,0,0.0
-4765.245,-3880.485,999.0,999.0,-0.95,0.28,0,0.0
2939.824,-4501.86,999.0,999.0,-0.9,0.26,0,0.0
-1027.648,4392.936,999.0,999.0,-0.74,0.22,0,0.0
